x,Func1,Func2,Func3,Func4,Func5,Func6
1.24062894600361261646295471186833871860015606854303541974806729122983832604933094213336407,6.03008246587924583074577412961880802324643233204408941572906005522779268899947418775001051e-90,0.00000000000000000000521190665069736272778480550036875771855797579817518675804551643737972921708098883024592367,0.000000173379951123482763919859552210410523372724135548622920855952415518534927902755435601502075,3.7626597079528330917697267347342158523960566001060513022147143720931196704209454619873148e-31,0.0000000000000000125169117557366814107443537983977481009044874550997039214319523167674623662027334960485111,5.47882088285448658512765687290851404831806021304409863681331807876650200742920799063853023e-90
1.2422964580278110205173404036853660555875218697104319727315996397395558506811176772706401,-9.97755995619367228361526185144165301725330630788384292562775091820111394359334648439583822e-90,0.0000000000000000527882979071650987311924230830135021684680741308752729767247892397786473167509263949763552,0.0000037512777372015417338390270480437841018544321339509243640290692914431058019644686774338965,0.000000000000000000000000383536312494742648506068495027452264733435555107213504193754857546251330985429010923405638,0.0000000000000272551169011004614484656891959125458234725070369664633622143099182801087423178485532141088,-1.14989750594484940848379199938375633071460912467685870130004174280940150385279727886547836e-89
1.24396397005200942457172609550239339257488767087782852571513198824927337531290441240791613,-1.54876826091481653422399784385467995134614391129655441320634992754980982108952442635010714e-89,0.00000000000019404807791737508581374334784816965007177539151911904898358731607309754152047239368072211,0.0000578943854761229582713222257591018693039924391818687003351252326194320415470160701061428542,0.0000000000000000000854799024735700701639004978831418174575529508105714836960915862363445231929717553744471685,0.0000000000255029912039295976161315330123038541376008360100367065579722752318911064462284126146522321,6.60233915770664385827931103626082532511869304289655011559196612757922042453469286013315821e-90
1.24563148207620782862611178731942072956225347204522507869866433675899089994469114754519215,-4.89321977719822449574960555652227324904459911003650834769466780190990239076845675640329472e-90,0.00000000025888786126856536680821409235068002953955172992231657971767336503125436804744900894315692,0.000637339099739256223427129863731480156794785121179851551734162079040680916180877894092124939,0.0000000000000041655037672181534228193215278632626933814310259647311447885254683100264406266509068140172,0.0000000102547813866221371342412466431143942591026466111973618976439966423988281707630018463391424,4.54429031972548598039633784487481071994067476259576451526531616211872907676395355877968739e-90
1.24729899410040623268049747913644806654961927321262163168219668526870842457647788268246818,1.06689813786720517605632292515737453278462236703041730581910849386325941411242169769950032e-89,0.00000012535587310716264220368203788161938099435574504908719097665628242275416293846027246013231,0.00500474047891371951368447735184024085955904134841417725635584520270158061263141647176634856,0.0000000000443830383039927424659828778779621779785284303531938035151415179704047373737306794554430317,0.00000177195996383258950946204708002601449161459861714315180370352800573308529091163018347787472,-1.13577448594216922029194202711622902681384460350171769531247264102639680319013285245195558e-89
1.24896650612460463673488317095347540353698507438001818466572903377842594920826461781974421,1.50207957205468484024930796110160536424314567824001365391788984992375776205506245739844206e-89,0.0000220296877001531365353145555755857412790628102800669689934637969989839639250167080915871759,0.0280329915964400460436979503394061097548223014871158898010711089542487178678060245702802585,0.000000103398088650214213034207644714642694955100269082648102707369543393074645486479064667647482,0.000131575072223982048857188758240073184006769957969528913338336904755817657873780504639731777,7.38657776818406645536971576599429228102393522936970106816356742260198539800459400345783833e-90
1.25063401814880304078926886277050274052435087554741473764926138228814347384005135295702023,3.75920422306109669894907604122780151264579272237475799327771664658866975436816040625358692e-90,0.00140508517277052868525589260380710462900144747909736090214524520285199135031421019976182863,0.112004176416607959415548258845890779559911155673799868268710815455713251338804492504239406,0.0000526688670384407080401485543128123539634141407238088840894958767015066926720275674252361244,0.0041984167150554632277472913846278552817734102125212450883171889392771749981582666701815589,3.58033872302859069790015821723621690778495117815540468855088084706430934906132950440740757e-90
1.25230153017300144484365455458753007751171667671481129063279373079786099847183808809429626,-1.12913802261400631185092233506563472513156188454759024541955591751091625969072748430603748e-89,0.0325257722950459654481212696384997978940849361597601686299824897161938835247816670083460044,0.319209547416201429545403876914884258721746236703460235590976920203671286151012431599763832,0.00586599145393482171700455313941245301466762493842382384186941917718369027921092284646248846,0.0575691319539563801675247646495513905601929925668543584009136464163042528137366291467558675,-1.11286091680685747027877079154359727693389598113092980370731197299194243482905316615233907e-89
1.25396904219719984889804024640455741449908247788220784361632607930757852310362482323157229,-1.44904527531924674625774230499593669099966836739032438663730145005758057018756705049786139e-89,0.273264515008704603021069155915596667451853238713397333321371814986926081321921332832554383,0.648924861698512607136906322009018223866799657136370411386002099986546116978910839143399427,0.142848228689425278377233257221986554634669950392444605051967748940515105427958364896150558,0.339223579919295386702472050778953630009785429907729356808383125909656368791316742096487187,8.10792808598046667889776725588144999672952163025455187686562333903456025347158564306942837e-90
1.25563655422139825295242593822158475148644827904960439659985842781729604773541155836884831,-2.63309830642770640723412435611592713702118410744408989037614979508586267032582172577557919e-90,0.833238863867535683743836547253280169945980971636725444223461374519338395644029169633137188,0.94100046786884481443640171429737699368275782919257053736492294224964606331666414741559735,0.760596420335372138830571040831419516314811453924139509671952920878051337522283300325648502,0.858963279836567630981668314472889752355904567741300966571069692620727977405078925767703812,2.5946717167202206256934012141355721213591641327202225658106162434582313718195854912682385e-90
1.25730406624559665700681163003861208847381408021700094958339077632701357236719829350612434,1.1842884960915213841846579872396256820209753198007926679945348361539655245423470041054039e-89,0.922117899837266669083277521048831832453726541468852807226426947886730270483193878642639596,0.973334575168947379886243812266925314435974438374170933779952085405318451209875403492268623,0.885481880529384842025256021479889984627480100006269474988470767774184027092891587055904791,0.934663702067783687314522144154331531915859013536121285024723946762886882316449362545888125,-1.08139403576832555313921052732603825655943032442560377072914739084515816683515129362494241e-89
1.25897157826979506106119732185563942546117988138439750256692312483673109699898502864340037,1.3899920229786139862446535793211463861506772501653100839170776145949219202459754740707371e-89,0.370368500198977718407758964530678174274148828215613313081319507964084054913172013935085406,0.718143687926622667413910191986232553508736976839131834031204122919271963041974378356216744,0.225398522203052502355852641445988268049768475917457212938576611694518902084769208627667734,0.437047227021596616618743269464181396859145363804116990293439701760568662764991534529878058,8.76119135268803982187565213698810464657706897949211113976384657344490440114549362312488767e-90
