x,Char_Func_3
0,1
0.0001848,0.980313989
0.000369599,0.923550824
0.000554399,0.836155017
0.000739198,0.72751709
0.000923998,0.608317065
0.001108797,0.488818011
0.001293597,0.377480741
0.001478397,0.2801385
0.001663196,0.199793428
0.001847996,0.136936744
0.002032795,0.090196399
0.002217595,0.05709378
0.002402394,0.034731121
0.002587194,0.020303887
0.002771994,0.011406962
0.002956793,0.00615873
0.003141593,0.003195529
0.003326392,0.0015934
0.003511192,0.000763549
0.003695991,0.000351625
0.003880791,0.000155616
0.00406559,6.61846E-05
0.00425039,2.70515E-05
0.00443519,1.06256E-05
0.004619989,4.01098E-06
0.004804789,1.45504E-06
0.004989588,5.0726E-07
0.005174388,1.69948E-07
0.005359187,5.47184E-08
0.005543987,1.69309E-08
0.005728787,5.03451E-09
0.005913586,1.43868E-09
0.006098386,3.95096E-10
0.006283185,1.04273E-10
0.006467985,2.64466E-11
0.006652784,6.44613E-12
0.006837584,1.50994E-12
0.007022384,3.39898E-13
0.007207183,7.35308E-14
0.007391983,1.52869E-14
0.007576782,3.05423E-15
0.007761582,5.86425E-16
0.007946381,1.08207E-16
0.008131181,1.91879E-17
0.008315981,3.26987E-18
0.00850078,5.35505E-19
0.00868558,8.42804E-20
0.008870379,1.27474E-20
0.009055179,1.85287E-21
0.009239978,2.58821E-22
0.009424778,3.47E-23
0.009609578,4.48E-24
0.009794377,5.56E-25
0.009979177,6.62E-26
0.010163976,7.58E-27
0.010348776,8.34E-28
0.010533575,8.82E-29
0.010718375,8.96E-30
0.010903175,8.76E-31
0.011087974,8.22E-32
0.011272774,7.41E-33
0.011457573,6.42E-34
0.011642373,5.35E-35
0.011827172,4.28E-36
0.012011972,3.30E-37
0.012196771,2.44E-38
0.012381571,1.73E-39
0.012566371,1.18E-40
0.01275117,7.76E-42
0.01293597,4.89E-43
0.013120769,2.96E-44
0.013305569,1.73E-45
0.013490368,9.66E-47
0.013675168,5.20E-48
0.013859968,2.69E-49
0.014044767,1.33E-50
0.014229567,6.37E-52
0.014414366,2.92E-53
0.014599166,1.29E-54
0.014783965,5.46E-56
0.014968765,2.22E-57
0.015153565,8.70E-59
0.015338364,3.27E-60
0.015523164,1.18E-61
0.015707963,4.11E-63
0.015892763,1.37E-64
0.016077562,4.40E-66
0.016262362,1.36E-67
0.016447162,4.03E-69
0.016631961,1.22E-70
0.016816761,1.62E-71
0.01700156,6.83E-72
0.01718636,8.25E-72
0.017371159,6.55E-72
