x,Char_Func_2
0,1
5.73283E-05,0.993851096
0.000114657,0.975630311
0.000171985,0.946001643
0.000229313,0.906026997
0.000286642,0.857103027
0.00034397,0.800880209
0.000401298,0.739170689
0.000458627,0.673852051
0.000515955,0.606774071
0.000573283,0.539674771
0.000630612,0.474110813
0.00068794,0.411405646
0.000745268,0.352617024
0.000802597,0.298523791
0.000859925,0.249630279
0.000917253,0.206185546
0.000974582,0.168213875
0.00103191,0.135552664
0.001089238,0.107893912
0.001146567,0.084825898
0.001203895,0.06587227
0.001261223,0.050526526
0.001318552,0.038280614
0.00137588,0.028647121
0.001433208,0.021175112
0.001490537,0.015460129
0.001547865,0.011149185
0.001605193,0.007941742
0.001662522,0.005587674
0.00171985,0.003883194
0.001777178,0.002665567
0.001834507,0.001807311
0.001891835,0.001210372
0.001949163,0.000800658
0.002006492,0.000523141
0.00206382,0.000337623
0.002121148,0.000215223
0.002178477,0.000135515
0.002235805,8.4281E-05
0.002293133,5.17743E-05
0.002350462,3.14153E-05
0.00240779,1.88283E-05
0.002465118,1.11461E-05
0.002522447,6.51745E-06
0.002579775,3.76422E-06
0.002637103,2.14741E-06
0.002694432,1.21004E-06
0.00275176,6.73479E-07
0.002809088,3.70247E-07
0.002866417,2.01049E-07
0.002923745,1.07834E-07
0.002981073,5.71284E-08
0.003038402,2.98945E-08
0.00309573,1.54516E-08
0.003153058,7.88854E-09
0.003210387,3.97799E-09
0.003267715,1.9814E-09
0.003325043,9.7482E-10
0.003382372,4.73717E-10
0.0034397,2.27382E-10
0.003497028,1.07804E-10
0.003554357,5.04846E-11
0.003611685,2.3352E-11
0.003669013,1.06692E-11
0.003726342,4.81484E-12
0.00378367,2.14622E-12
0.003840998,9.44954E-13
0.003898327,4.1095E-13
0.003955655,1.76527E-13
0.004012983,7.48986E-14
0.004070312,3.13892E-14
0.00412764,1.29936E-14
0.004184968,5.31276E-15
0.004242297,2.14563E-15
0.004299625,8.55917E-16
0.004356953,3.37249E-16
0.004414282,1.31254E-16
0.00447161,5.04566E-17
0.004528938,1.91587E-17
0.004586267,7.18547E-18
0.004643595,2.66188E-18
0.004700923,9.7401E-19
0.004758252,3.52031E-19
0.00481558,1.25673E-19
0.004872908,4.43145E-20
0.004930237,1.54345E-20
0.004987565,5.30982E-21
0.005044893,1.80431E-21
0.005102222,6.05599E-22
0.00515955,2.00771E-22
0.005216878,6.57E-23
0.005274207,2.13E-23
0.005331535,6.79E-24
0.005388863,2.14E-24
0.005446192,6.68E-25
0.00550352,2.06E-25
0.005560848,6.26E-26
0.005618177,1.88E-26
0.005675505,5.58E-27
0.005732833,1.63E-27
0.005790162,4.73E-28
0.00584749,1.35E-28
0.005904818,3.82E-29
0.005962147,1.07E-29
0.006019475,2.93E-30
0.006076803,7.99E-31
0.006134132,2.15E-31
0.00619146,5.70E-32
0.006248788,1.49E-32
0.006306117,3.87E-33
0.006363445,9.91E-34
0.006420773,2.50E-34
0.006478102,6.25E-35
0.00653543,1.54E-35
0.006592758,3.75E-36
0.006650087,9.03E-37
0.006707415,2.15E-37
0.006764743,5.04E-38
0.006822072,1.17E-38
0.0068794,2.67E-39
0.006936728,6.05E-40
0.006994057,1.35E-40
0.007051385,2.98E-41
0.007108713,6.50E-42
0.007166042,1.40E-42
0.00722337,2.97E-43
0.007280698,6.25E-44
0.007338027,1.30E-44
0.007395355,2.66E-45
0.007452683,5.37E-46
0.007510012,1.07E-46
0.00756734,2.12E-47
0.007624668,4.14E-48
0.007681997,7.97E-49
0.007739325,1.52E-49
0.007796653,2.85E-50
0.007853982,5.30E-51
0.00791131,9.71E-52
0.007968638,1.76E-52
0.008025967,3.15E-53
0.008083295,5.56E-54
0.008140623,9.71E-55
0.008197952,1.67E-55
0.00825528,2.85E-56
0.008312608,4.79E-57
0.008369937,7.97E-58
0.008427265,1.31E-58
0.008484593,2.12E-59
0.008541922,3.39E-60
0.00859925,5.37E-61
0.008656578,8.38E-62
0.008713907,1.29E-62
0.008771235,1.97E-63
0.008828563,2.97E-64
0.008885892,4.41E-65
0.00894322,6.48E-66
0.009000548,9.40E-67
0.009057877,1.35E-67
0.009115205,1.91E-68
0.009172533,2.67E-69
0.009229862,3.66E-70
0.00928719,5.06E-71
0.009344518,1.53E-72
0.009401847,1.02E-72
0.009459175,-1.02E-72
0.009516503,6.64E-72
0.009573832,6.13E-72
0.00963116,-5.11E-72
